date,% CP có giá trên SMA200,% CP có giá dưới SMA200,index
2023-08-14,0.8275862068965517,0.1724137931034483,1236.84
2023-08-15,0.8347826086956521,0.16521739130434787,1234.05
2023-08-16,0.8475336322869955,0.15246636771300448,1243.26
2023-08-17,0.8230088495575221,0.17699115044247793,1233.48
2023-08-18,0.7458333333333333,0.25416666666666665,1177.99
2023-08-21,0.7161572052401747,0.2838427947598253,1179.76
2023-08-22,0.7644444444444445,0.23555555555555552,1180.49
2023-08-23,0.7699530516431925,0.2300469483568075,1172.56
2023-08-24,0.7880184331797235,0.21198156682027647,1189.39
2023-08-25,0.7788018433179723,0.2211981566820277,1183.37
2023-08-28,0.8153153153153153,0.18468468468468469,1201.72
2023-08-29,0.8165137614678899,0.1834862385321101,1204.43
2023-08-30,0.8071748878923767,0.19282511210762332,1213.16
2023-08-31,0.8281938325991189,0.17180616740088106,1224.05
2023-09-05,0.8311688311688312,0.16883116883116878,1234.98
2023-09-06,0.8478260869565217,0.15217391304347827,1245.5
2023-09-07,0.8521739130434782,0.14782608695652177,1243.14
2023-09-08,0.8354978354978355,0.16450216450216448,1241.48
2023-09-11,0.8326180257510729,0.1673819742489271,1223.63
2023-09-12,0.8672566371681416,0.1327433628318584,1245.44
2023-09-13,0.826271186440678,0.17372881355932202,1238.39
2023-09-14,0.8245614035087719,0.17543859649122806,1223.81
2023-09-15,0.8125,0.1875,1227.36
2023-09-18,0.8202764976958525,0.17972350230414746,1211.81
2023-09-19,0.8127853881278538,0.18721461187214616,1211.5
2023-09-20,0.8243243243243243,0.17567567567567566,1226.11
2023-09-21,0.8302752293577982,0.16972477064220182,1212.74
2023-09-22,0.7876106194690266,0.21238938053097345,1193.05
2023-09-25,0.6977777777777778,0.30222222222222217,1153.2
2023-09-26,0.6531531531531531,0.34684684684684686,1137.96
2023-09-27,0.7142857142857143,0.2857142857142857,1153.85
2023-09-28,0.725,0.275,1152.43
2023-09-29,0.7391304347826086,0.26086956521739135,1154.15
2023-10-02,0.7450980392156863,0.2549019607843137,1155.25
2023-10-03,0.6388888888888888,0.36111111111111116,1118.1
2023-10-04,0.6731707317073171,0.3268292682926829,1128.67
2023-10-05,0.65,0.35,1113.89
2023-10-06,0.6683168316831684,0.33168316831683164,1128.54
2023-10-09,0.6842105263157895,0.3157894736842105,1137.36
2023-10-10,0.6880733944954128,0.3119266055045872,1143.69
2023-10-11,0.7087378640776699,0.2912621359223301,1150.81
2023-10-12,0.7333333333333333,0.2666666666666667,1151.61
2023-10-13,0.7352941176470589,0.2647058823529411,1154.73
2023-10-16,0.7058823529411765,0.2941176470588235,1141.42
2023-10-17,0.6504854368932039,0.3495145631067961,1121.65
2023-10-18,0.5229357798165137,0.47706422018348627,1103.4
2023-10-19,0.46445497630331756,0.5355450236966824,1087.85
2023-10-20,0.5665024630541872,0.43349753694581283,1108.03
2023-10-23,0.5425531914893617,0.45744680851063835,1093.53
2023-10-24,0.5372340425531915,0.4627659574468085,1105.9
2023-10-25,0.53125,0.46875,1101.66
2023-10-26,0.3901345291479821,0.6098654708520179,1055.45
2023-10-27,0.4603960396039604,0.5396039603960396,1060.62
2023-10-30,0.36507936507936506,0.6349206349206349,1042.4
2023-10-31,0.25,0.75,1028.19
2023-11-01,0.30927835051546393,0.6907216494845361,1039.66
2023-11-02,0.45933014354066987,0.5406698564593302,1075.47
2023-11-03,0.46153846153846156,0.5384615384615384,1076.78
2023-11-06,0.4816753926701571,0.5183246073298429,1089.66
2023-11-07,0.4595959595959596,0.5404040404040404,1080.29
2023-11-08,0.5217391304347826,0.4782608695652174,1113.43
2023-11-09,0.539906103286385,0.460093896713615,1113.89
2023-11-10,0.5450236966824644,0.4549763033175356,1101.68
2023-11-13,0.5282051282051282,0.4717948717948718,1100.07
2023-11-14,0.5566502463054187,0.4433497536945813,1109.73
2023-11-15,0.5776699029126213,0.4223300970873787,1122.5
2023-11-16,0.5947368421052631,0.4052631578947369,1125.53
2023-11-17,0.5845410628019324,0.4154589371980676,1101.19
2023-11-20,0.572139303482587,0.427860696517413,1103.66
2023-11-21,0.5879396984924623,0.4120603015075377,1110.46
2023-11-22,0.6030150753768844,0.39698492462311563,1113.82
2023-11-23,0.5320197044334976,0.46798029556650245,1088.49
2023-11-24,0.5522388059701493,0.4477611940298507,1095.61
2023-11-27,0.48128342245989303,0.518716577540107,1088.06
2023-11-28,0.49732620320855614,0.5026737967914439,1095.43
2023-11-29,0.5260416666666666,0.47395833333333337,1102.8
2023-11-30,0.4797979797979798,0.5202020202020202,1094.13
2023-12-01,0.526595744680851,0.473404255319149,1102.16
2023-12-04,0.5915492957746479,0.4084507042253521,1120.49
2023-12-05,0.6059113300492611,0.3940886699507389,1115.97
2023-12-06,0.638095238095238,0.36190476190476195,1126.43
2023-12-07,0.6197183098591549,0.3802816901408451,1121.49
2023-12-08,0.6294416243654822,0.37055837563451777,1124.44
2023-12-11,0.6,0.4,1125.5
2023-12-12,0.5970149253731343,0.4029850746268657,1127.63
2023-12-13,0.5707070707070707,0.4292929292929293,1114.2
2023-12-14,0.5454545454545454,0.4545454545454546,1110.13
2023-12-15,0.5154639175257731,0.48453608247422686,1102.3
2023-12-18,0.49473684210526314,0.5052631578947369,1091.88
2023-12-19,0.5078534031413613,0.4921465968586387,1096.3
2023-12-20,0.5376344086021505,0.4623655913978495,1100.76
2023-12-21,0.526595744680851,0.473404255319149,1102.43
2023-12-22,0.5159574468085106,0.48404255319148937,1103.06
2023-12-25,0.5714285714285714,0.4285714285714286,1117.66
2023-12-26,0.5555555555555556,0.4444444444444444,1122.25
2023-12-27,0.56,0.43999999999999995,1121.99
2023-12-28,0.5369458128078818,0.4630541871921182,1128.93
2023-12-29,0.5175879396984925,0.4824120603015075,1129.93
2024-01-02,0.5226130653266332,0.4773869346733668,1131.72
2024-01-03,0.5804878048780487,0.41951219512195126,1144.17
2024-01-04,0.6057692307692307,0.3942307692307693,1150.72
2024-01-05,0.5833333333333334,0.41666666666666663,1154.68
2024-01-08,0.5893719806763285,0.41062801932367154,1160.19
2024-01-09,0.5885167464114832,0.4114832535885168,1158.59
2024-01-10,0.6116504854368932,0.38834951456310685,1161.54
2024-01-11,0.5902439024390244,0.40975609756097564,1162.22
2024-01-12,0.5734597156398105,0.42654028436018954,1154.7
2024-01-15,0.5583756345177665,0.4416243654822335,1154.12
2024-01-16,0.5497382198952879,0.4502617801047121,1163.12
2024-01-17,0.583756345177665,0.41624365482233505,1162.53
2024-01-18,0.5829145728643216,0.4170854271356784,1169.06
2024-01-19,0.5544554455445545,0.4455445544554455,1181.5
2024-01-22,0.5714285714285714,0.4285714285714286,1182.86
2024-01-23,0.5729166666666666,0.42708333333333337,1177.5
2024-01-24,0.5920398009950248,0.40796019900497515,1172.97
2024-01-25,0.5641025641025641,0.4358974358974359,1170.37
2024-01-26,0.5567010309278351,0.44329896907216493,1175.67
2024-01-29,0.5414634146341464,0.4585365853658536,1175.69
2024-01-30,0.585,0.41500000000000004,1179.65
2024-01-31,0.5188679245283019,0.4811320754716981,1164.31
2024-02-01,0.5555555555555556,0.4444444444444444,1173.02
2024-02-02,0.529126213592233,0.470873786407767,1172.55
2024-02-05,0.5071090047393365,0.4928909952606635,1186.06
2024-02-06,0.5412371134020618,0.4587628865979382,1188.48
2024-02-07,0.5665024630541872,0.43349753694581283,1198.53
2024-02-15,0.5922330097087378,0.4077669902912622,1202.5
2024-02-16,0.6038647342995169,0.3961352657004831,1209.7
2024-02-19,0.6074766355140186,0.39252336448598135,1224.97
2024-02-20,0.5747663551401869,0.4252336448598131,1230.06
2024-02-21,0.5953488372093023,0.4046511627906977,1230.04
2024-02-22,0.6139534883720931,0.38604651162790693,1227.31
2024-02-23,0.5251141552511416,0.4748858447488584,1212.0
2024-02-26,0.5539906103286385,0.4460093896713615,1224.17
2024-02-27,0.6064814814814815,0.3935185185185185,1237.46
2024-02-28,0.6139534883720931,0.38604651162790693,1254.55
2024-02-29,0.6157407407407407,0.3842592592592593,1252.73
2024-03-01,0.6261261261261262,0.37387387387387383,1258.28
2024-03-04,0.6383928571428571,0.3616071428571429,1261.41
2024-03-05,0.6697247706422018,0.3302752293577982,1269.98
2024-03-06,0.6415094339622641,0.3584905660377359,1262.73
2024-03-07,0.6267281105990783,0.3732718894009217,1268.46
2024-03-08,0.5982142857142857,0.4017857142857143,1247.35
2024-03-11,0.5504587155963303,0.4495412844036697,1235.49
2024-03-12,0.568075117370892,0.431924882629108,1245.0
2024-03-13,0.6063348416289592,0.39366515837104077,1270.51
2024-03-14,0.6227272727272727,0.3772727272727273,1264.26
2024-03-15,0.6425339366515838,0.35746606334841624,1263.78
2024-03-18,0.5982532751091703,0.40174672489082974,1243.56
2024-03-19,0.6183574879227053,0.3816425120772947,1242.46
2024-03-20,0.6421568627450981,0.3578431372549019,1260.08
2024-03-21,0.631578947368421,0.368421052631579,1276.42
2024-03-22,0.6451612903225806,0.3548387096774194,1281.8
2024-03-25,0.6405529953917051,0.35944700460829493,1267.86
